Name,Age,Nationality,Position,Finishing,ShortPassing,LongPassing,Acceleration,SprintSpeed,Agility,Balance,ShotPower,Jumping,Stamina,Strength,quality_level
Rochina,27,Spain,RCM,72,77,71,74,72,69,68,78,67,69,73,A
L. Shaw,22,England,LB,47,78,68,83,85,74,74,65,73,77,75,A
E. Gigliotti,31,Argentina,ST,84,66,46,61,63,68,62,78,77,78,79,A
S. Bamba,33,Ivory Coast,LCB,27,59,53,53,55,32,32,51,65,52,89,A
C. Tosun,27,Turkey,ST,79,72,60,72,75,73,66,83,80,73,74,A
G. Rodríguez,34,Argentina,LCB,45,63,65,62,67,64,58,69,81,66,78,A
V. Vasin,29,Russia,CB,30,62,64,69,66,37,43,71,79,74,86,A
L. Pavoletti,29,Italy,RS,81,64,36,66,63,65,59,80,86,66,84,A
Bojan,27,Spain,CAM,70,76,72,75,68,80,85,72,43,57,40,A
A. Tashaev,24,Russia,LM,65,72,70,79,73,65,72,58,65,77,59,A
B. Koné,30,Burkina Faso,LCB,31,61,62,62,61,70,54,65,83,63,79,A
T. Werner,22,Germany,RW,87,77,55,93,93,81,76,74,78,83,59,A
Hélton Celanova,26,Brazil,ST,73,71,53,53,56,67,58,86,62,60,88,A
S. Langkamp,30,Germany,CB,22,64,57,51,55,51,46,48,65,53,83,A
A. Mierzejewski,31,Poland,RM,75,76,69,75,69,73,78,77,75,77,70,A
N. Vlašić,20,Croatia,LCM,68,75,67,77,80,78,74,73,55,71,66,A
A. Westwood,28,England,CM,49,80,79,63,55,70,77,71,71,80,66,A
Dalbert,24,Brazil,LB,52,72,68,91,91,83,67,72,59,80,67,A
A. Mawson,24,England,LCB,48,68,66,57,58,47,49,53,76,56,83,A
C. Clemens,26,Germany,RM,66,73,67,83,79,70,72,73,68,74,68,A
Morales,30,Spain,LS,80,75,68,88,88,78,80,76,62,82,60,A
B. Dočkal,29,Czech Republic,CAM,67,77,73,66,63,71,66,78,63,65,58,A
S. Mustafi,26,Germany,RCB,58,77,69,58,65,63,67,66,83,68,78,A
M. Miazga,22,United States,RCB,16,67,54,62,58,57,41,35,79,68,82,A
W. Montillo,34,Argentina,CAM,57,78,70,68,67,70,86,72,61,41,43,A
Rafael Vaz,29,Brazil,LCB,51,69,63,65,59,60,43,73,77,66,84,A
Córdoba,21,Spain,LW,70,75,65,85,82,86,78,70,68,66,65,A
G. Jara,32,Chile,CB,45,71,71,67,66,71,66,58,78,69,77,A
A. Ulmer,32,Austria,LB,53,73,63,71,67,73,74,74,57,87,65,A
H. Aouar,20,France,LM,72,84,78,79,79,81,81,61,61,79,61,A
M. Rashica,22,Kosovo,RW,69,68,64,93,86,90,77,79,41,75,57,A
Gabriel Boschilia,22,Brazil,RW,73,75,69,76,73,79,81,76,59,64,43,A
R. Eremenko,31,Finland,CAM,69,83,78,69,68,70,73,82,71,66,72,A
J. Tavernier,26,England,RB,62,74,70,85,87,72,75,70,72,86,78,A
N. Castillo,25,Chile,ST,80,65,59,70,68,62,75,82,82,69,88,A
M. Rzatkowski,28,Germany,CM,60,73,70,77,75,82,85,70,63,86,56,B
S. Padoin,34,Italy,RB,51,75,72,68,68,69,79,74,69,59,65,B
G. Angella,29,Italy,CB,30,58,62,39,47,34,34,60,64,50,73,B
L. Mühl,21,Germany,LCB,25,69,67,64,79,54,49,59,65,65,81,B
A. Kolomeytsev,29,Russia,CDM,67,77,73,58,68,62,62,76,70,83,76,B
L. Jutkiewicz,29,England,LS,69,56,49,56,66,55,66,74,82,69,84,B
M. Pittón,23,Argentina,LCM,58,69,63,67,69,66,73,56,57,84,66,B
N. Paz,26,Argentina,CB,30,56,54,46,53,35,32,60,33,68,91,B
R. Murawski,24,Poland,RCM,47,72,66,80,75,81,78,64,87,94,62,B
A. Ajagun,25,Nigeria,CAM,69,65,58,82,84,80,93,70,83,90,53,B
Adryan,23,Brazil,LS,62,69,68,78,76,82,76,62,61,67,60,B
B. Idowu,26,Nigeria,LWB,36,54,48,90,85,70,68,54,70,83,68,B
D. Vavro,22,Slovakia,RCB,37,68,64,63,72,49,66,66,70,65,87,B
Luís Martins,26,Portugal,LB,51,71,70,70,70,71,74,80,63,64,56,B
Rodrigo,25,Brazil,RB,36,66,60,73,72,74,73,75,63,78,70,B
F. N'Sakala,27,DR Congo,LB,37,67,65,83,85,78,78,45,85,83,67,B
S. Yatabaré,29,Mali,CM,62,68,67,69,78,55,49,73,70,82,79,B
P. Franco,27,Colombia,LCB,48,67,65,56,60,66,77,69,69,73,71,B
Z. Bakkali,22,Belgium,LM,69,69,53,91,84,88,92,79,64,34,32,B
Jonaldo Monteiro,30,Brazil,LB,51,71,67,75,74,71,73,52,56,81,67,B
D. Benlamri,28,Algeria,CB,24,69,64,56,64,51,55,36,78,69,91,B
D. Cataño,26,Colombia,CAM,58,70,63,75,71,71,73,55,64,51,62,B
R. Stearman,30,England,CB,33,63,53,50,47,57,50,50,74,66,77,B
H. Nielsen,24,Norway,ST,71,67,49,67,67,65,62,76,67,59,74,B
P. Erras,23,Germany,CDM,40,73,66,33,37,31,29,49,34,65,79,B
Defendi,32,Brazil,CB,26,59,51,39,36,49,44,35,56,51,81,B
A. Blin,21,France,CDM,52,71,64,59,54,61,67,60,66,79,71,B
D. Fisher,24,England,RB,20,57,50,79,79,72,63,32,70,80,73,B
S. Romagnoli,28,Italy,RCB,21,52,50,54,53,56,33,43,70,65,86,B
João Félix,18,Portugal,LW,64,70,67,77,80,84,78,72,78,73,60,B
D. van Mieghem,28,Netherlands,RS,66,65,60,87,90,87,76,62,53,66,41,B
D. Asprilla,29,Colombia,RW,69,67,66,79,80,68,60,75,61,70,74,B
R. Braña,39,Argentina,RDM,49,73,77,39,41,60,68,69,65,40,61,B
D. Arias,33,Colombia,CDM,53,73,70,67,66,75,76,72,80,76,64,B
C. Medjani,33,Algeria,RDM,53,68,68,56,64,51,64,60,86,77,75,B
Canella,30,Spain,LB,44,69,66,70,72,71,69,59,77,73,74,B
C. Vilches,34,Chile,RCB,37,64,63,52,46,61,66,52,81,67,81,B
Marcão,22,Brazil,LCB,23,64,56,59,59,55,57,52,84,60,75,B
Kim Bo Kyung,28,Korea Republic,CM,59,70,68,75,70,73,68,63,73,83,66,B
S. Malezas,33,Greece,CB,26,58,56,53,54,51,39,50,63,59,77,B
T. Elphick,30,England,RCB,32,64,50,38,40,56,49,55,73,52,80,B
F. Picault,27,United States,LM,68,66,52,90,87,81,82,71,90,62,35,B
C. Pasquato,28,Italy,CAM,58,68,62,89,76,92,81,62,55,65,53,B
S. Maguire,24,Republic of Ireland,ST,73,58,40,93,92,88,85,63,70,76,65,B
R. Leipertz,25,Germany,RM,68,67,53,83,80,71,66,70,68,72,70,B
David Batanero,29,Spain,LCM,50,78,76,55,50,61,63,71,62,66,72,B
P. van Anholt,27,Netherlands,RB,50,62,69,70,74,65,86,79,81,77,74,B
Ever Sineiro,30,Brazil,CAM,62,67,60,78,70,83,82,62,60,64,57,B
Alam Basteirinho,26,Brazil,RAM,59,72,66,51,55,63,64,54,49,47,46,B
M. Roberts,27,England,CB,21,51,56,52,62,41,51,33,82,62,80,B
D. Toth,31,Austria,CDM,54,76,66,73,66,83,80,62,78,79,59,B
U. Ćosić,25,Serbia,CB,17,55,50,66,72,60,68,75,68,68,76,B
E. Hussain,25,Norway,RCM,62,71,67,73,68,78,79,69,68,79,54,B
A. Benali,26,Libya,CAM,58,75,72,83,72,93,88,64,60,77,61,B
M. Tahrat,28,Algeria,LCB,19,67,62,49,51,56,34,43,75,71,84,B
V. Osimhen,19,Nigeria,LM,69,62,34,75,76,68,67,71,75,59,67,B
P. Calandria,36,Argentina,ST,74,68,54,39,62,58,56,69,56,52,80,B
J. Jones,23,Northern Ireland,LM,62,68,59,90,90,79,90,60,48,69,37,B
R. Leonard,26,England,LCM,58,70,71,78,82,78,71,80,82,85,81,B
Adeilson Gesser,26,Brazil,RAM,62,72,42,73,88,84,83,45,72,78,43,B
D. Opare,27,Ghana,RB,59,63,56,82,83,83,79,76,81,77,64,B
E. Oztumer,27,England,CAM,65,69,66,84,76,94,96,68,83,77,35,B
A. Tinnerholm,27,Sweden,RB,49,67,62,69,84,72,61,52,58,92,69,B
M. Erdinç,31,Turkey,ST,73,70,55,68,70,69,74,72,85,73,75,B
N. Obiora,26,Nigeria,CDM,28,70,68,74,69,66,60,74,84,79,90,B
M. Havenaar,31,Japan,ST,68,56,44,46,52,40,30,70,65,69,92,B
K. Coulibaly,26,Mali,ST,70,66,49,55,55,45,34,73,34,61,83,B
J. Attamah,24,Ghana,CB,27,69,66,70,69,58,64,69,78,77,78,B
M. Varnier,20,Italy,CB,33,59,53,64,73,49,55,51,73,70,81,B
Jubal,24,Brazil,CB,22,64,35,55,65,51,53,42,73,76,74,B
Paco Montañés,31,Spain,LM,60,65,60,89,85,87,83,75,79,66,65,B
N. Eliasson,22,Sweden,RM,56,63,51,90,83,85,74,55,58,69,45,B
J. Otero,23,Colombia,RM,76,63,69,89,90,81,69,75,79,76,78,B
B. Linssen,27,Netherlands,LW,74,68,59,81,77,73,83,77,82,78,60,B
A. Godoy,28,Panama,RCM,59,79,77,47,47,64,65,73,63,78,71,B
J. Mees,22,Germany,LW,70,67,54,77,70,76,75,67,67,66,57,B
P. Lasogga,26,Germany,ST,76,45,34,45,50,44,39,84,73,58,88,B
J. Butterfield,28,England,CM,60,73,66,64,52,66,69,67,54,76,68,B
N. Ninković,23,Serbia,CAM,62,70,63,71,68,69,73,63,70,54,51,B
O. Vizcarrondo,34,Venezuela,CB,43,60,64,30,30,32,33,58,65,41,83,B
E. Insúa,27,Argentina,LB,55,68,65,71,75,67,65,72,76,83,70,B
A. Davies,17,Canada,RM,64,64,51,92,93,84,76,71,72,76,69,B
V. Kalitvintsev,25,Ukraine,RM,59,71,65,72,67,68,72,72,51,57,45,B
A. Callens,26,Peru,LCB,18,69,69,60,46,72,54,73,74,73,77,B
G. Gardner,26,England,RCM,58,70,72,52,55,60,53,81,62,78,70,B
F. Navarro,29,Mexico,RB,50,67,63,85,85,79,87,68,89,81,56,B
D. Batth,27,England,CB,20,55,53,31,32,34,37,32,74,66,91,B
J. Bowen,21,England,RM,71,66,54,79,76,74,81,63,62,71,63,B
S. Rosted,23,Norway,CB,60,64,62,52,59,55,56,58,70,63,79,B
Marlion Rolim,26,Brazil,LAM,70,68,65,62,71,72,78,58,44,52,54,B
T. Aoyama,32,Japan,CM,54,73,69,56,55,72,66,72,72,83,68,B
G. Tutino,21,Italy,LS,67,64,54,77,76,70,71,68,55,58,54,B
Ronaldo Vieira,19,England,CDM,53,74,67,77,79,75,78,65,69,80,79,B
T. Tawatha,26,Israel,LB,39,70,63,78,78,76,77,53,70,66,66,B
Y. Komai,26,Japan,RM,59,68,52,88,76,83,75,65,81,74,53,B
O. Hamzaoui,27,Algeria,ST,68,64,53,68,72,74,63,70,60,72,63,B
C. Peralta,28,Colombia,ST,80,57,27,77,73,73,68,67,66,59,68,B
J. Medina,21,Paraguay,RW,66,72,66,73,73,70,68,69,69,71,38,B
I. Anya,30,Scotland,RW,58,66,60,86,85,90,89,73,80,70,62,B
Álex Fernández,25,Spain,CAM,52,80,74,59,44,68,68,59,60,75,61,B
E. Mathoho,28,South Africa,CB,42,51,57,57,66,41,40,56,72,75,75,B
M. Thuram,20,France,LM,72,74,58,72,76,71,54,74,65,70,84,B
Bruno Tabata,21,Brazil,RW,55,74,65,84,78,77,76,74,56,75,49,B
Hwang Hee Chan,22,Korea Republic,ST,70,66,55,92,90,87,78,70,70,72,70,B
J. Zmrhal,24,Czech Republic,LM,67,70,66,79,84,69,60,80,54,76,69,B
L. Hejda,28,Czech Republic,CB,30,61,44,57,63,57,53,46,57,75,77,B
L. Mousset,22,France,ST,69,57,44,75,76,71,68,76,69,62,69,B
P. Aránguiz,21,Chile,CAM,64,69,67,69,82,82,74,68,50,82,46,B
Joselu,27,Spain,ST,75,72,45,78,73,69,67,78,70,87,76,B
C. Valencia,33,Colombia,RS,74,64,43,69,71,66,72,73,58,70,59,B
J. Vaughan,29,England,ST,70,54,44,73,76,77,53,71,82,66,71,B
N. De la Cruz,21,Uruguay,CAM,55,73,71,81,76,80,71,72,58,69,37,B
K. Vandendriessche,28,France,RDM,64,67,65,63,63,56,53,80,68,92,84,B
A. Mac Allister,19,Argentina,CM,64,71,67,70,69,67,71,67,63,67,58,B
Miltisco Paulino,30,Brazil,LCB,44,62,66,61,61,62,62,44,77,56,77,B
C. Núñez,25,Uruguay,ST,69,60,54,81,79,75,76,71,79,63,75,B
F. Cassata,20,Italy,CM,36,74,70,68,66,67,59,55,35,69,50,B
B. Touré,26,Mali,RDM,42,68,67,57,37,56,61,66,70,76,74,B
N. Pérez,18,Argentina,CB,21,65,42,67,61,52,55,42,69,54,62,B
G. Sunu,27,France,ST,72,70,64,67,74,76,68,77,53,64,73,B
P. Souaré,28,Senegal,LB,43,68,66,71,69,71,68,60,81,59,63,B
R. Petretta,21,Italy,LB,27,65,63,82,76,76,77,54,66,67,63,B
N. Höfler,28,Germany,CDM,41,76,68,60,54,68,64,62,85,74,72,B
M. Murillo,24,Colombia,ST,67,61,56,66,77,67,39,72,49,76,78,B
João Bardinho,34,Brazil,LB,55,72,68,78,72,77,81,63,66,68,51,B
Marc Gual,22,Spain,LS,72,66,45,65,73,56,59,69,71,71,66,B
K. Lafferty,30,Northern Ireland,ST,71,64,45,67,67,63,71,76,81,71,80,B
C. Nørgaard,24,Denmark,CDM,55,74,71,62,60,68,71,63,59,78,70,B
M. Lešković,27,Croatia,CB,22,53,21,62,67,46,49,32,66,58,77,B
O. Nguette,23,Senegal,LW,61,66,62,90,82,80,72,67,79,58,63,B
S. Gonther,31,Germany,CB,28,50,46,66,66,57,58,54,81,41,79,B
João Victor,24,Brazil,LW,67,61,64,89,88,80,72,72,37,68,60,B
Vítor Gonçalves,26,Portugal,RCM,57,70,65,67,66,76,77,71,59,81,47,B
Pau Torres,21,Spain,LCB,24,70,62,65,61,52,40,43,67,72,63,B
A. Rojas,32,Argentina,LDM,66,71,68,62,68,68,69,74,71,72,71,B
M. Gómez,24,Colombia,LM,64,67,64,64,79,77,66,55,65,78,72,B
M. Franke,25,Germany,RCB,24,57,48,47,52,37,35,49,54,63,90,B
B. Başaçıkoğlu,23,Turkey,LM,66,64,42,84,83,90,72,73,91,66,43,B
S. Kaya,27,Turkey,RCB,38,65,62,66,62,65,63,53,76,65,70,B
J. O'Shea,37,Republic of Ireland,CB,29,60,57,29,32,49,54,49,57,30,77,B
B. Angulo,22,Ecuador,ST,78,56,33,82,79,78,64,72,69,77,69,B
C. Carter-Vickers,20,United States,CB,17,62,52,61,64,53,60,36,72,55,77,B
E. Prib,28,Russia,LM,61,72,67,73,69,69,74,74,71,63,67,B
Silvosinho,34,Brazil,RB,46,69,63,76,59,60,75,65,69,76,60,B
Y. Okubo,36,Japan,ST,69,65,60,39,54,74,75,74,40,55,65,B
Nuno André Coelho,32,Portugal,CB,34,69,66,30,32,42,34,77,34,67,78,B
Pedro Tiba,29,Portugal,LDM,59,76,65,66,62,67,68,81,70,77,73,B
Z. Erdal,30,Turkey,LB,42,62,64,73,66,66,63,72,64,78,71,B
Verza,31,Spain,RCM,61,76,79,36,40,57,67,80,50,58,68,B
Lourival Dinisco,30,Brazil,LCB,52,61,71,65,60,59,55,62,72,56,77,B
M. Stefaniak,23,Germany,LW,61,66,65,86,79,79,75,70,69,64,60,B
Hélder Ferreira,21,Portugal,RM,66,67,65,74,75,69,68,74,67,54,56,B
L. Majer,20,Croatia,CAM,68,69,68,78,68,72,72,70,50,54,48,B
Sevinho Santos,30,Brazil,ST,66,52,50,61,66,65,61,68,72,54,71,B
N. Powell,24,England,CAM,71,68,66,72,68,68,75,70,69,70,64,B
L. Bénes,20,Slovakia,CAM,62,76,63,67,64,76,78,64,59,58,56,B
M. Lacen,34,Algeria,CDM,49,80,76,52,50,74,79,70,76,64,69,B
L. Tawamba,28,Cameroon,ST,72,58,35,66,80,63,47,67,83,72,86,B
C. Skuse,32,England,RDM,55,67,65,53,52,61,68,66,75,72,71,B
Pablo Valcarce,25,Spain,RM,71,63,61,74,75,82,79,70,74,71,63,B
P. Hoban,26,Republic of Ireland,ST,73,64,53,69,70,62,67,67,64,76,84,B
J. Sýkora,24,Czech Republic,RM,57,64,62,83,81,84,81,66,70,82,49,B
T. Derijck,31,Belgium,CB,42,65,68,51,52,51,52,44,53,68,74,B
F. Melchiorri,31,Italy,LS,74,64,40,74,83,70,52,75,89,64,69,B
P. Bamford,24,England,ST,72,67,60,73,72,70,62,68,62,73,66,B
F. Ricci,24,Italy,LW,65,68,59,80,76,78,74,63,34,60,39,B
Tramontinaldo,34,Brazil,RB,45,74,71,63,71,77,79,53,55,63,54,B
Edu Ramos,26,Spain,CDM,46,78,74,65,67,73,74,66,54,74,69,B
A. Struna,27,Slovenia,RCB,24,60,58,65,69,65,49,64,77,85,93,B
Tang Miao,27,China PR,RB,21,68,60,79,72,78,71,36,54,90,75,B
J. Gastien,30,France,LDM,71,69,65,62,65,76,82,67,64,93,72,B
H. Wahl,24,Germany,LCB,36,44,43,54,63,56,58,44,81,60,82,B
G. Bruno,26,Belgium,LM,69,65,44,68,67,70,70,63,66,66,72,B
J. Laso,27,Argentina,RCB,22,52,43,58,62,47,54,42,63,68,82,B
L. Reyes,27,Chile,CDM,58,73,71,70,67,80,76,64,77,88,69,B
R. Noir,31,Argentina,LM,70,67,61,83,82,79,78,71,69,78,71,B
K. N'Doram,22,France,CDM,22,71,67,60,59,55,59,47,76,68,75,B
S. Hutchinson,28,England,CDM,51,71,71,64,67,61,63,57,75,57,72,B
Lucas Tagliapietra,27,Brazil,LCB,23,61,44,49,53,31,35,38,56,68,90,B
J. Mensah,27,Ghana,RCB,28,70,67,64,70,54,46,79,72,72,79,B
A. Spörle,22,Argentina,LB,44,65,60,79,75,66,52,65,67,77,79,B
A. Costa,32,Italy,RCB,27,58,51,67,66,68,60,62,85,65,73,B
S. Bassong,31,Cameroon,CB,24,54,56,63,67,55,61,64,73,66,83,B
R. Holmes,31,England,LM,62,63,53,77,78,77,83,60,69,79,63,B
Juan Muñoz,22,Spain,ST,68,63,41,69,68,70,63,72,63,55,65,B
A. Briseño,24,Mexico,RCB,41,59,44,67,61,63,64,45,93,76,74,B
F. Cordero,30,Chile,LB,55,72,64,77,73,76,72,59,52,74,59,B
J. Harrison,21,England,RM,66,64,59,86,78,79,75,67,61,70,62,B
C. Leemans,22,Netherlands,LCM,63,74,72,63,65,63,60,85,65,77,76,B
Y. Kakitani,28,Japan,LS,68,69,59,81,83,78,70,71,79,71,64,B
K. Beckerman,36,United States,RCM,52,74,68,39,40,59,68,77,62,72,71,B
L. Andersen,23,Denmark,LS,66,69,66,79,84,87,70,71,57,73,64,B
M. Cassierra,21,Colombia,ST,75,67,34,68,74,74,58,67,82,69,72,B
S. Souprayen,29,France,LB,20,66,64,69,68,72,65,57,74,75,70,B
J. López,29,Colombia,RCB,25,45,47,36,42,30,30,68,32,70,90,B
J. Rivierez,29,France,RB,17,65,55,68,59,57,64,46,82,83,81,B
S. Polter,27,Germany,ST,74,55,47,65,75,58,59,77,72,73,90,B
C. Ramos,29,Peru,LCB,34,58,51,59,70,59,56,62,68,62,75,B
A. Bouhaddouz,31,Morocco,RS,70,65,53,62,66,58,54,75,72,64,84,B
Alexandre Guedes,24,Portugal,ST,71,68,61,65,68,68,60,75,73,69,75,B
J. Egan,25,Republic of Ireland,CB,43,64,69,65,65,60,70,62,79,75,81,B
L. Cavanda,27,Belgium,RB,47,63,62,74,80,71,72,69,73,69,71,B
J. Ramaré,34,France,RDM,40,73,67,37,38,71,71,57,90,82,70,B
M. Pereira Lage,21,Portugal,CAM,69,72,69,82,79,81,74,72,82,75,68,B
M. Olivera,20,Uruguay,LB,20,69,42,63,58,48,54,28,64,61,63,B
J. Madueña,28,Mexico,RB,42,70,64,79,84,76,67,60,69,81,73,B
C. McLaughlin,26,Northern Ireland,RB,43,66,60,74,67,71,63,62,87,81,67,B
F. Espíndola,33,Argentina,ST,68,62,56,75,71,74,70,76,72,79,64,B
M. Duffy,32,England,CAM,62,74,65,72,68,73,79,61,58,59,57,B
T. Castagne,22,Belgium,LM,52,71,68,69,72,70,66,62,70,84,63,B
G. Mancini,22,Italy,LCB,32,53,40,52,52,37,57,51,68,53,76,B
G. Kyei,22,France,ST,72,62,43,64,70,66,80,68,80,69,88,B
H. Wilson,21,Wales,RW,68,70,59,82,76,78,84,73,45,67,47,B
R. Sallai,21,Hungary,LW,70,71,62,76,74,68,61,64,63,58,54,B
Y. Toyokawa,23,Japan,CF,70,66,28,88,77,87,84,66,84,71,42,B
Somália,29,Brazil,CM,65,71,67,76,83,72,67,72,54,82,73,B
A. González,24,Argentina,RW,69,68,60,84,83,84,75,73,57,73,61,B
J. Villota,26,Colombia,CAM,63,67,65,72,66,77,81,68,74,78,57,B
R. Schiavi,32,Italy,CB,19,47,26,34,62,46,45,55,77,61,77,B
D. Milošević,23,Bosnia Herzegovina,CAM,65,71,68,67,66,73,65,73,59,71,61,B
C. Manea,20,Romania,RB,26,62,63,73,72,68,64,56,68,85,68,B
R. Schüller,27,Finland,CDM,52,68,70,58,60,69,65,60,61,73,62,B
T. Kalas,25,Czech Republic,LCB,38,68,50,71,74,67,70,66,81,74,76,B
S. Manolev,32,Bulgaria,RB,58,68,68,72,74,69,57,69,71,86,72,B
G. Friend,30,England,LB,52,65,60,66,66,69,55,64,70,82,76,B
P. Ledesma,34,Argentina,CDM,45,81,74,52,49,64,65,70,66,69,74,B
F. Holland,27,Germany,LB,38,63,62,74,73,76,82,59,78,79,67,B
E. Ocansey,20,Ghana,RM,60,63,58,90,84,91,82,77,90,68,47,B
M. Duffy,23,Northern Ireland,LM,66,67,60,75,77,74,74,61,72,75,70,B
V. Anita,29,Netherlands,RCM,53,73,69,75,72,79,79,61,74,80,59,B
Hélder Tavares,28,Cape Verde,RDM,51,72,68,63,67,71,72,74,59,84,67,B
Crivellaro,29,Brazil,CAM,62,72,69,66,59,68,66,66,31,67,73,B
R. Strieder,25,Germany,CDM,32,74,72,60,53,73,73,59,64,85,60,B
Martos,34,Spain,LCB,28,68,64,63,61,63,69,47,66,68,64,B
C. Moritz,28,Germany,CM,53,71,68,52,66,75,66,69,68,84,69,B
W. Bruin,28,United States,ST,68,60,49,59,70,60,55,73,74,69,87,B
V. Marcel,21,France,RW,66,74,68,71,71,77,69,64,70,67,51,B
S. Mugoša,26,Montenegro,ST,70,53,40,64,72,61,53,73,66,69,71,B
R. Varga,28,Hungary,RW,66,69,53,85,82,74,69,71,81,72,68,B
L. Immers,32,Netherlands,RCM,68,74,68,43,38,54,52,80,82,79,81,B
M. Ciani,34,France,CB,26,55,61,33,35,31,32,79,63,58,92,B
A. González,25,Venezuela,RB,67,68,59,78,83,76,73,68,90,83,80,B
A. Teikeu,28,Cameroon,LCB,25,54,29,50,51,45,48,40,80,60,77,B
C. Ganea,26,Romania,LB,52,62,62,77,78,79,79,84,58,82,61,B
A. Turan,26,Turkey,LB,42,70,68,78,75,69,86,79,41,78,73,B
J. Spence,28,England,RB,35,65,62,75,77,64,67,65,63,77,69,B
S. Pellissier,39,Italy,ST,78,68,44,34,45,55,77,82,66,43,53,B
A. Weimann,26,Austria,RS,69,68,43,85,82,73,61,74,59,81,62,B
A. Mazzotta,28,Italy,LB,27,64,60,76,77,69,77,64,64,83,63,B
G. Escobar,21,Argentina,LB,32,71,60,82,81,72,79,34,76,83,72,B
Paulinho,32,Brazil,ST,73,69,65,65,69,77,73,69,81,63,66,B
J. Campos,30,Bolivia,CAM,58,72,64,66,64,71,79,68,57,78,62,B
D. Larsson,31,Sweden,LM,60,61,57,85,92,73,78,83,80,88,65,B
Felipe Macedo,24,Brazil,CB,26,53,37,62,54,52,55,49,68,60,77,B
D. Appiah,26,France,RB,33,65,60,78,81,76,72,51,81,88,66,B
G. Espinoza,28,Chile,RDM,53,72,68,70,47,72,66,74,59,81,74,B
Suso Santana,33,Spain,RM,62,63,50,84,84,87,86,58,85,76,74,B
S. Celozzi,29,Germany,RB,50,66,65,77,74,78,83,59,64,74,61,B
Danilo Silva,31,Brazil,RCB,42,69,60,72,76,55,57,59,61,74,74,B
C. Moţi,33,Romania,LCB,31,55,62,66,63,58,55,33,65,69,74,B
L. Vásquez,26,Colombia,RDM,52,69,71,39,34,40,54,51,66,63,80,B
J. Galván,26,Argentina,CB,58,61,58,63,68,62,61,56,88,84,79,B
Jeffrén,30,Venezuela,RM,57,74,72,74,77,81,82,66,69,44,60,B
Javi Guerra,36,Spain,ST,71,63,57,54,58,65,66,76,79,33,72,B
W. Routledge,33,England,RM,64,72,70,70,69,77,87,68,71,53,63,B
B. Mokulu,28,DR Congo,RS,65,62,57,80,77,64,51,71,74,71,91,B
N. Taylor,29,Wales,LB,30,69,67,75,67,70,83,46,76,74,65,B
D. Álvarez,23,Mexico,RM,52,70,69,89,87,79,75,70,67,69,66,B
O. John,26,Netherlands,LM,59,74,65,79,75,70,71,74,61,51,67,B
O. Boscagli,20,France,LB,23,71,65,67,69,66,60,39,71,73,69,B
I. Mbenza,22,Belgium,ST,69,70,67,85,86,77,60,77,75,65,74,B
M. Petković,25,Serbia,RB,52,66,58,74,73,70,62,48,60,78,71,B
Vieiraldo Junior,26,Brazil,LDM,30,68,62,67,68,60,62,74,85,78,78,B
Dodô,19,Brazil,RB,59,68,59,91,89,90,80,58,83,69,60,B
Domingos Duarte,23,Portugal,RCB,30,65,44,56,37,44,49,50,49,73,78,B
R. Improta,24,Italy,LW,70,70,64,78,83,91,80,47,49,48,51,B
M. Bogado,33,Argentina,CDM,58,67,77,61,71,72,71,80,51,83,63,B
F. Schultz,26,Chile,RM,58,70,67,72,79,82,75,49,60,88,68,B
S. Vergini,29,Argentina,CB,33,66,61,31,43,54,41,45,39,67,81,B
J. Meredith,30,Australia,LB,40,63,64,75,78,63,60,55,68,90,74,B
S. De Petter,32,Belgium,CB,52,67,53,40,46,57,61,58,52,68,72,B
C. Evans,27,Northern Ireland,CDM,51,70,64,59,66,65,72,68,61,80,65,B
Diogo Viana,28,Portugal,RB,57,68,60,83,82,78,79,73,40,71,53,B
J. Larsson,28,Sweden,RB,61,69,67,80,81,79,77,71,72,91,71,B
Go Yo Han,30,Korea Republic,RM,62,73,69,84,83,85,84,59,86,89,63,B
Barbosaldinho,30,Brazil,LCB,23,50,47,55,51,65,52,45,73,68,73,B
N. Giannetti,27,Italy,ST,68,60,52,79,79,82,67,60,87,60,69,B
C. Gardner,31,England,CM,59,67,72,52,50,62,71,87,73,76,74,B
A. Voglsammer,26,Germany,LS,72,66,36,75,78,69,75,70,82,80,82,B
M. Clarke,21,England,LCB,30,59,56,52,58,44,65,55,72,73,86,B
B. Kayal,30,Israel,LCM,54,74,72,65,66,74,72,72,92,88,69,B
J. Elías,22,Argentina,RCM,39,72,69,70,72,69,62,65,63,77,66,B
H. Dean,26,England,LCB,25,64,61,58,51,57,55,60,83,65,80,B
M. Liendl,32,Austria,CAM,66,73,69,64,53,72,68,75,66,68,58,B
M. Matvienko,22,Ukraine,LB,28,67,54,71,74,60,69,73,72,74,65,B
Jair,29,Brazil,LM,73,65,62,77,73,81,68,67,61,76,68,B
H. Faik,26,Netherlands,CM,59,70,77,48,55,64,60,84,63,73,67,B
Y. Ouattara,34,Ivory Coast,RW,64,70,60,87,74,86,83,74,58,71,57,B
T. Letschert,25,Netherlands,RCB,52,66,68,69,67,67,70,72,84,63,81,B
Ansel Barnisco,30,Brazil,LDM,51,71,72,64,63,51,61,55,62,72,80,B
S. Roudet,37,France,CAM,59,72,71,54,57,73,72,64,30,52,63,B
